hospital_name,city,address,icu_beds,oxygen_beds,normal_beds
A.J. Hospital & Research Centre,Mangalore,Kuntikan,11,37,46
A.M. Hospital,Bangalore, Vijayanagar,17,34,61
Aadhar Hospital,Belgaum,Chavatgalli,14,39,32
Aadithya Adhikari Hospital,Mysore,3Rd Stage Gokulaum,3,23,43
Abhaya Eye Hospital,Bangalore,Banashankari 3rd stage,1,20,31
Abhaya Hospital,Belthangady, Jainpeta,11,28,37
Abhaya Hospital (Neuropsychiatry & Critical Care Hospital Pvt Ltd),Bangalore,"17, Dr.M.H.Mari Gowda Road,Wilson Garden,Bangalore",6,25,29
Abhilash Hospital & Sara Rehabilitation Centre,Bangalore,"#271, 1Ooft Ring Road, 5Th Block,3Rd Phase, 3Rd Stage,Banashankri.",15,38,61
Abhishek Nethradhama,Bangalore,"Mosque Complex, Opp Rajkamar Talkies, Fort Road,",5,38,14
Acharya Tulsi Jain Hospital,Bangalore,"Mom(M)W6-P-6,#22/2-1,6Th Cross,K.N Extension",11,1,16
Achyut Pandit Hospital,Karwar,"Kumbeswar Temple Road,Kumta",12,12,36
Acura Health Care Pvt Ltd,Bangalore,"#435,18Th Main,Koramangala 6Th Block(Near Ndoor Stadium)",8,25,35
Adarsh Nursing Home,Bellary,"Gopalswamy Road,Gandhinagar",19,27,15
Adarsha Hospital,Kundapur,"# 274/Vi, N.H. # 17, Kundapura, Udapi-576201Udupi- 576201",1,14,18
Adarsha Hospital Udupi,Udupi,"Near K.S.R.T.C Bus Stand, Udupi",18,12,70
Adarsha Nursing Home,Tumkur,Sharadadevi Nagaropp Mg Stadium,7,30,38
Adichunchanagiri Hospital & Research,Mandya,"Balagangadharanatha Nagara, Nagamangala Taluk, Mandya Dist",4,20,70
Adithi Maternity And General Nursing Home,Bangalore,"#78,Omkarnagar, B.G. Road.",5,28,20
Adithya Nursing Home,Ramanagaram,57 Opp Junior College Ramanagaram,7,5,43
Aditi Hosptial,Bangalore,"Gandhi Square Newpet,Anekal",2,12,5
